zipcode,number_of_violations
10065,2620
10069,46
10453,1430
10013,8472
10451,1939
10457,1277
10456,1208
10455,1460
11231,2129
10105,23
10104,70
10459,1069
10458,2835
11232,1764
10103,12
10010,3718
11385,3608
10017,5175
10510,27
10016,6751
10307,369
11222,3059
11237,3309
10454,1121
10304,682
10057,12
10285,21
10282,231
10280,106
10281,355
10118,69
10119,231
10112,197
10110,6
10111,52
11109,152
11379,581
11378,1187
10452,1656
11375,2945
11374,1381
11377,3116
11101,4092
11106,2389
11370,303
11373,3414
11105,1973
11102,1209
11103,3053
10027,2553
10048,6
11229,1993
10040,1022
11371,241
10029,3116
10044,82
11201,5557
11203,2303
10128,2524
11205,2157
11204,2189
11207,2234
11206,2195
11209,3993
11208,1693
10121,319
11372,5802
11225,1810
11104,1617
11368,4374
11369,946
11366,764
11223,2584
11364,744
11365,569
11362,907
11363,130
11360,341
11361,1714
10020,528
10123,10
10021,2344
11212,1669
11213,1797
11210,1176
11211,5254
11216,2238
11217,3660
11214,3135
11215,4973
10035,1207
10034,1766
11218,2479
10036,8312
10031,1775
10030,605
10033,1713
10032,1869
11003,1
11001,31
11358,2061
11005,82
11004,336
11697,47
11694,585
11516,1
11692,109
11356,695
11355,3475
11354,5886
10039,396
11451,32
10038,2634
10309,833
10308,678
10037,478
10306,1414
10305,1351
11040,374
10303,433
10302,930
10301,1517
10028,2954
11228,785
10026,1375
11226,3257
10024,2779
10025,3914
10022,6522
10023,2408
11221,1635
11220,5937
11219,1595
10169,148
10168,50
11429,323
11428,696
10166,29
11421,1282
11420,1275
11423,447
11422,526
11427,330
11426,547
10152,7
10153,18
10154,11
10155,1
10310,913
10311,21
10312,1159
10199,18
10314,2422
N/A,4
10317,10
11238,3463
11239,244
10019,9450
10018,4928
10271,28
11230,1738
10012,5874
10011,6548
11233,1134
11234,2063
11235,2659
11236,1916
10014,5820
11256,22
10270,12
11352,34
11432,2677
11433,362
11430,1724
11436,284
11434,1031
11435,1829
10004,1860
10005,814
10006,656
10007,1728
10001,6904
10002,7065
10003,10050
10167,18
11357,754
10165,19
10009,4576
10279,31
11693,440
10475,784
10474,505
10471,762
10470,580
10473,391
10472,1506
11691,743
11249,2154
11245,4
11241,10
11242,14
10107,6
10158,5
10178,8
10179,5
10075,1314
10170,12
10171,10
10172,5
10173,4
10174,22
10175,8
10176,26
10466,1222
10467,2099
10464,535
10465,1042
10462,2025
10463,1638
10460,791
10461,2073
10468,1662
10469,1343
11411,342
11412,611
11413,656
11414,781
11415,542
11416,643
11417,1070
11418,1352
11419,1608
10106,10
11367,776
11224,868
